"age","mean_weight","sex"
1,16.7206245901639,"boys"
2,16.1823293150685,"boys"
3,15.7998901369863,"boys"
4,15.4504690410959,"boys"
5,15.2549401639344,"boys"
6,15.2708545454545,"boys"
7,15.3792333333333,"boys"
8,15.5943166666667,"boys"
9,15.8749166666667,"boys"
10,16.221275,"boys"
11,16.6622583333333,"boys"
12,17.203175,"boys"
13,17.845625,"boys"
14,18.5840083333333,"boys"
15,19.3602666666667,"boys"
16,20.1099666666667,"boys"
17,20.7983666666667,"boys"
18,21.408325,"boys"
19,21.9349333333333,"boys"
20,22.1883,"boys"
1,16.2828827868852,"girls"
2,15.7778049315069,"girls"
3,15.5321065753425,"girls"
4,15.3170142465753,"girls"
5,15.2570745901639,"girls"
6,15.2495,"girls"
7,15.3200416666667,"girls"
8,15.5186333333333,"girls"
9,15.8615166666667,"girls"
10,16.3251333333333,"girls"
11,16.892675,"girls"
12,17.5817583333333,"girls"
13,18.3651583333333,"girls"
14,19.1578416666667,"girls"
15,19.8737833333333,"girls"
16,20.4497416666667,"girls"
17,20.8663666666667,"girls"
18,21.1458916666667,"girls"
19,21.3396166666667,"girls"
20,21.4269,"girls"
